,RMSD,Score,"gauss(o=0,w=0.5,c=8)","gauss(o=3,w=2,c=8)","repulsion(o=0,c=8)","hydrophobic(g=0.5,b=1.5,c=8)","non_dir_h_bond(g=-0.7,b=0,c=8)"
39,1.166859745979309,-7.24084187,-1.88750204,-5.204891000000001,0.732450324,-1.2889965,-0.8592599999999999
40,0.9894407391548157,-7.16409254,-1.6083299999999998,-5.265014000000001,0.59274359,-1.3423996999999996,-0.797563
41,0.9530542492866516,-7.00560522,-1.51204266,-5.338723,0.18529493,-1.622246,0.0
42,1.37958824634552,-6.9387455,-1.658137673,-5.1947980000000005,0.151479855,-1.4559327000000002,0.0
43,1.5842163562774658,-6.89253712,-1.5841391000000002,-5.241915,0.7306498309999999,-1.3964413999999998,-0.643788
44,1.2605218887329102,-6.79213333,-1.82598484,-4.855725999999999,0.42955288999999997,-1.4433157,-0.3649175
45,0.2954636812210083,-6.62349701,-1.736029625,-5.0294680000000005,1.20378121,-0.8110729000000001,-1.5551279999999998
46,1.5552871227264404,-6.57518244,-1.7418364,-5.152629,0.46059803999999993,-0.8120524,-0.484052
47,1.017045497894287,-6.53765631,-1.52610372,-4.934944000000001,0.6245918049,-1.3005265,-0.71618
48,0.6828123331069946,-8.47968006,-3.6405085,-7.311756000000001,2.1298558315999996,-0.719191,-0.922968
49,1.4067070484161377,-7.35158062,-3.6335479000000004,-6.972759000000001,3.0156723550000004,-0.759694,-0.2376093
50,1.8733278512954712,-7.2887969,-3.5478981,-7.219499999999999,2.21488243953,-0.625849,-0.4337124
51,1.898573637008667,-6.95621872,-2.5839805309979997,-5.946451999999998,0.9711584867,-0.41807999999999995,-0.131071
52,1.459977626800537,-6.63812256,-2.4143749324200003,-5.922624,1.4873329800000001,-0.41269,-0.45135900000000007
53,1.7444976568222046,-6.52896023,-2.9171084036000003,-6.063518,2.7128807300000006,-0.8240810000000001,-0.453692
54,1.8180886507034302,-6.47339439,-3.1939738336,-5.962755,2.49856964,-0.8316300000000001,-0.200535
55,1.0341888666152954,-6.34331369,-2.7532005760000002,-5.780039999999999,1.1956617629999997,-0.28816853,-0.7101120000000001
56,1.5517786741256714,-6.11529589,-3.2900701,-6.667484000000001,3.845452355,-0.551654,-1.011408
57,3.01164174079895,-9.4477396,-2.786339096860001,-8.898055999999999,1.2899452269999998,-1.76787792,-1.152608
58,2.366105794906616,-9.17860794,-2.903732181,-9.581546,1.37811484,-1.41947667,-0.632034
59,2.3942418098449707,-9.10533619,-2.972987283522233,-8.538186,1.1571865090000002,-2.25481925,-0.478946
60,3.3001604080200195,-9.04035759,-2.9665875178496,-8.348989,0.6991516143,-1.89825,-0.230584
61,3.0382907390594482,-8.94017792,-3.2144023184,-8.462218,0.975640693,-1.8097043999999998,-0.54873
62,2.4720005989074707,-8.79976273,-2.8469492741000004,-8.273947,1.050428133,-1.4252116000000001,-1.017706
63,1.4315710067749023,-8.7726841,-2.9318689272999996,-8.902035000000001,2.245950474999999,-1.7984996,-1.282881
64,2.4154350757598877,-8.68643475,-2.9652316259000004,-7.503475099999999,1.34300742036,-2.2381788,-0.7088204
65,3.113574743270874,-8.57483768,-2.8949432076000003,-8.421158999999998,0.9914526527,-1.85627623,-0.4567428
66,2.5547409057617188,-9.7817297,-4.3482383460000005,-10.753771,1.3929378755700002,-2.1248039999999997,-1.3799354
67,4.605335712432861,-9.68703365,-3.067815351244744,-10.044726,0.833157004,-2.1460007000000005,-0.5720270000000001
68,4.14186429977417,-9.6858387,-3.346804367169001,-9.770450999999998,1.006326212,-2.177155,-0.689073
69,3.8005356788635254,-9.54798031,-3.004125273607811,-10.550840000000003,1.3699559500000003,-1.64555507,-1.3774579999999998
70,3.1674702167510986,-9.45189285,-3.4120993372000004,-10.367303,1.1234302299999999,-1.7989601000000002,-0.740039
71,4.20761775970459,-9.34682941,-3.290556356085924,-10.421751999999998,1.257831742,-1.5845802000000002,-1.2146812
72,3.8376121520996094,-9.34442902,-2.7317567318835287,-10.804703000000002,1.0725035139999997,-1.5233652999999998,-1.1952280000000002
73,2.9429900646209717,-9.31812763,-3.4509285260600002,-11.307244,0.8128570020000001,-1.2336862,-0.729957
74,3.114078998565674,-9.10323811,-3.198280751333304,-10.557079000000002,0.829316045,-2.0940913,-0.653387
75,2.6738860607147217,-4.84334803,-1.5116069460975203,-3.5824228,0.317162198,-1.2382189,-0.245177
76,1.3840124607086182,-4.76110172,-2.1706734,-3.6248200999999995,0.543005195,-1.4797630000000002,-0.717908
77,2.7894580364227295,-4.68640804,-1.4473683506378,-3.5461278000000003,0.30855309799999997,-1.2854309,-0.223096
78,2.558089256286621,-4.65152979,-1.498110777552,-3.5852579999999996,0.53799735171,-1.3056046000000001,-0.340481
79,1.8367958068847656,-4.59865427,-2.27456575,-3.855939399999999,0.37920881,-1.4817659,0.0
80,1.5203145742416382,-4.49690485,-2.04703271,-4.094030999999999,0.5276810289999999,-1.2622855,-0.327378
81,1.1662108898162842,-4.40304375,-2.09188206934,-3.8527576,0.382749662,-1.48834,0.0
